0					
1	"2023-04-25 08:30"	"2023-06-01 08:30"		
2	"2023-06-01 08:30"	"2023-06-29 08:30"		
3	"2023-07-06 08:30"	"2023-08-03 08:30"		
4	"2023-08-03 08:30"	"2023-08-31 08:30"		
5	"2023-09-07 08:30"	"2023-10-05 08:30"		
6	"2023-10-05 08:30"	"2023-11-02 08:30"		
7	"2023-11-02 08:30"	"2023-11-30 08:30"		
8	"2023-12-07 08:30"	"2024-01-04 08:30"		
9	"2024-01-04 08:30"	"2024-02-01 08:30"		
10	"2024-02-01 08:30"	"2024-02-29 08:30"		
11	"2024-03-07 08:30"	"2024-04-04 08:30"		
12	"2024-04-04 08:30"	"2024-05-02 08:30"		
13	"2024-05-02 08:30"	"2024-05-30 08:30"		
14	"2024-05-30 08:30"	"2024-06-27 08:30"		
15	"2024-07-04 08:30"	"2024-08-01 08:30"		
16	"2024-08-01 08:30"	"2024-08-29 08:30"		
17	"2024-09-05 08:30"	"2024-10-03 08:30"		
18	"2024-10-10 08:30"	"2024-11-07 08:30"		
19	"2024-11-07 08:30"	"2024-12-05 08:30"		
20	"2024-12-05 08:30"	"2025-01-02 08:30"		
21	"2025-01-09 08:30"	"2025-02-06 08:30"		
22	"2025-02-06 08:30"	"2025-03-06 08:30"		
23	"2025-03-06 08:30"	"2025-04-03 08:30"		
24	"2025-04-10 08:30"	"2025-05-08 08:30"		
25	"2025-05-08 08:30"	"2025-06-05 08:30"		
26	"2025-06-05 08:30"	"2025-07-03 08:30"		
27	"2025-07-03 08:30"	"2025-07-31 08:30"		
28	"2025-08-07 08:30"	"2025-09-04 08:30"		
29	"2025-09-04 08:30"	"2025-10-02 08:30"		
30	"2025-10-02 08:30"	"2025-10-30 08:30"		
31	"2025-11-06 08:30"	"2025-12-04 08:30"		
32	"2025-12-11 08:30"	"2026-01-08 08:30"		
33	"2026-01-08 08:30"	"2026-02-05 08:30"		
34	"2026-02-05 08:30"	"2026-03-05 08:30"		
35	"2026-03-05 08:30"	"2026-04-02 08:30"		
36	"2026-04-02 08:30"	"2026-04-30 08:30"		
37	"2026-05-07 08:30"	"2026-06-04 08:30"		
end			
1			
1	100		
2	300		
3	600		
4	900		
5	1200		
6	1500		
7	1800		
8	2100		
9	2400		
10	2700		
11	3000		
12	3300		
13	3600		
14	3900		
15	4200		
16	4500		
17	4800		
18	5100		
19	5500		
20	6000		
end			
2			
0	5	2160	10
1	5	1700	7
2	5	100000	5
3	5	15	3
4	7	6	3
5	7	1	1
6	10	1	1
7	7	5	1
8	7	1	1
9	5	1	1
10	5	3	1
11	15	1	1
12	15	1	1
13	5	1	3
14	10	1	1
15	10	1000000	1
16	10	1	1
17	10	1	1
18	10	1	1
19	50	1	1
20	10	1	1
21	10	1	1
22	10	1	1
23	5	3	1
24	5	1	1
end			
3			
0	10	21600	2
end			
