////////////////////////////////////////////////////////////////////////////////						
//	[ Script ]	MonsterSoulConversion				
//	[ Version ]	0.0.0.1				
//	[ 최종 작업자 ]	박혜진				
//	[ 최종 작업일 ]	2019-02-20 2:56 PM				
//	[ 작 업 내 용 ]	Season14 Part2 몬스터 영혼 변환 컨텐츠 신규 추가				
//	[ 사 용 부 서 ]	서버, 클라이언트				
////////////////////////////////////////////////////////////////////////////////						
// 몬스터 영혼 변환기 일주일간 구매 가능 횟수 제한 설정						
0						
//구매 가능 횟수						
3						
end						
// 몬스터 영혼 변환기 등록						
1						
//고유 번호	타입	인덱스	필요한 영혼 종류 개수			
1	14	460	2	//1레벨 몬스터 영혼 변환기		
2	14	461	2	//2레벨 몬스터 영혼 변환기		
3	14	462	2	//3레벨 몬스터 영혼 변환기		
4	14	463	2	//4레벨 몬스터 영혼 변환기		
5	14	464	2	//5레벨 몬스터 영혼 변환기		
end						
// 몬스터 영혼 변환 설정						
//주의 !!!!!!!!! 이미 라이브에서 사용중인 인덱스의 값(사냥터 번호, 몬스터 번호 등)은 변경하면 안됩니다. 변경을 하려면 라이브 DB까지 함께 변경을 해주어야 합니다 !!!!!!!!!!!!!!!!!!!						
2						
// 고유 번호	400 레벨					
1						
//인덱스	사냥터 번호	몬스터 번호	영혼 수집 필요개수	영혼 드롭확률 (1/1000000)	사냥터 명	
0	91	586	1000	450000	"Acheron"	
1	91	587	1000	450000	"Acheron"	
2	91	588	1000	450000	"Acheron"	
3	91	589	1000	450000	"Acheron"	
4	91	590	1000	450000	"Acheron"	
5	91	591	1000	450000	"Acheron"	
6	63	480	1000	450000	"Vulcanus"	
7	63	482	1000	450000	"Vulcanus"	
8	63	484	1000	450000	"Vulcanus"	
9	63	486	1000	450000	"Vulcanus"	
10	63	487	1000	450000	"Vulcanus"	
11	63	489	1000	450000	"Vulcanus"	
12	63	490	1000	450000	"Vulcanus"	
13	29	271	1000	450000	"Kalima 6"	
14	29	272	1000	450000	"Kalima 6"	
15	29	270	1000	450000	"Kalima 6"	
16	29	268	1000	450000	"Kalima 6"	
17	29	273	1000	450000	"Kalima 6"	
18	29	269	1000	450000	"Kalima 6"	
19	29	274	1000	450000	"Kalima 6"	
20	36	331	1000	450000	"Kalima 7"	
21	36	332	1000	450000	"Kalima 7"	
22	36	333	1000	450000	"Kalima 7"	
23	36	334	1000	450000	"Kalima 7"	
24	36	335	1000	450000	"Kalima 7"	
25	36	336	1000	450000	"Kalima 7"	
26	36	337	1000	450000	"Kalima 7"
end						
// 고유 번호	600 레벨					
2						
//인덱스	사냥터 번호	몬스터 번호	영혼 수집 필요개수	영혼 드롭확률 (1/20000)	사냥터 명	
0	81	571	1000	450000	"Karutan 2"	
1	81	572	1000	450000	"Karutan 2"	
2	81	575	1000	450000	"Karutan 2"	
3	81	576	1000	450000	"Karutan 2"	
4	57	562	1000	450000	"Raklion"	
5	57	563	1000	450000	"Raklion"	
6	57	564	1000	450000	"Raklion"	
7	57	565	1000	450000	"Raklion"	
8	112	730	1000	450000	"Ferea"	
9	112	731	1000	450000	"Ferea"	
10	112	732	1000	450000	"Ferea"	
end						
// 고유 번호						
3						
//인덱스	사냥터 번호	몬스터 번호	영혼 수집 필요개수	영혼 드롭확률 (1/20000)	사냥터 명	
0	113	743	1000	450000	"Nixie Lake"	
1	113	744	1000	450000	"Nixie Lake"	
2	113	745	1000	450000	"Nixie Lake"	
3	116	767	1000	450000	"Deep Dungeon 1"	
4	116	770	1000	450000	"Deep Dungeon 1"	
5	116	771	1000	450000	"Deep Dungeon 2"	
6	117	772	1000	450000	"Deep Dungeon 2"
7	117	773	1000	450000	"Deep Dungeon 3"	
8	118	768	1000	450000	"Deep Dungeon 3"		
end						
// 고유 번호						
4						
//인덱스	사냥터 번호	몬스터 번호	영혼 수집 필요개수	영혼 드롭확률 (1/20000)	사냥터 명	
0	119	769	1000	450000	"Deep Dungeon 4"	
1	119	775	1000	450000	"Deep Dungeon 4"	
2	120	776	1000	450000	"Deep Dungeon 5"	
3	122	786	1000	450000	"Swamp of Darkness"	
4	122	787	1000	450000	"Swamp of Darkness"	
5	122	788	1000	450000	"Swamp of Darkness"	
6	122	789	1000	450000	"Swamp of Darkness"	
end						
// 고유 번호						
5						
//인덱스	사냥터 번호	몬스터 번호	영혼 수집 필요개수	영혼 드롭확률 (1/20000)	사냥터 명	
0	123	810	1000	450000	"Kubera Mine"	
1	123	811	1000	450000	"Kubera Mine"	
2	123	812	1000	450000	"Kubera Mine"	
3	123	813	1000	450000	"Kubera Mine"	
end						
end						
