//-----------------------------------------------------------------------------//
//SuccesProbability	
0		
1	2	3	5	15	25	40	50	60	75	90	
end																		
//-----------------------------------------------------------------------------//
//Index	Probability
1		
0	1000000	250	350	450	550	650	750	850	960	1070	1180	1300	1420	1540	1670	1800	1930	
end																		
//-----------------------------------------------------------------------------//
//Index	Probability	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
// Property defense increase is set to the default value.
2																		
0	130000	200	230	270	320	380	450	530	620	720	830	950	1080	1220	1370	1530	1700		// Elemental attack power increase
1	130000	50	100	150	200	260	320	380	450	520	590	670	750	840	930	1040	1250		// Elemental attack success rate increase
2	130000	50	100	150	200	260	320	380	450	520	590	670	750	840	930	1040	1250		// Elemental defense success rate increase
3	80000	300	340	390	450	520	600	690	790	900	1020	1150	1290	1440	1600	1770	1950		// Elemental attack power (II) %d increase
4	130000	40	60	80	100	130	160	190	230	270	310	360	410	460	520	580	640		// Elemental defense (II) %d increase
5	80000	100	150	250	350	460	570	680	800	920	1040	1170	1300	1440	1580	1740	2000		// Elemental attack success rate (II) %d increase
6	80000	100	150	250	350	460	570	680	800	920	1040	1170	1300	1440	1580	1740	2000		// Elemental defense success rate (II) %d increase
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			// An index to show the expected properties (clause)
end																		
//-----------------------------------------------------------------------------//
//ItemWingSocketIpgrade
//Material items and number for attribute level up (must be written with the same value as No. 7 of PentagramMixNeedSource)																
//index	Probability	type1	index1	count1	type2	index2	count2	type2	index2	count2	zen	
3		
0	500000	12	288	1	-1	-1	-1	-1	-1	-1	1000000							
1	500000	12	288	1	-1	-1	-1	-1	-1	-1	1500000							
2	500000	12	288	1	-1	-1	-1	-1	-1	-1	2000000							
3	450000	12	288	2	-1	-1	-1	-1	-1	-1	2500000							
4	450000	12	288	3	-1	-1	-1	-1	-1	-1	3000000							
5	450000	12	288	3	-1	-1	-1	-1	-1	-1	3500000							
6	450000	12	288	4	-1	-1	-1	-1	-1	-1	4000000							
7	400000	12	288	5	-1	-1	-1	-1	-1	-1	4500000							
8	400000	12	288	6	-1	-1	-1	-1	-1	-1	5000000							
9	400000	12	288	7	-1	-1	-1	-1	-1	-1	5500000							
10	350000	12	288	8	-1	-1	-1	-1	-1	-1	6000000							
11	350000	12	288	9	-1	-1	-1	-1	-1	-1	6500000							
12	350000	12	288	10	-1	-1	-1	-1	-1	-1	7000000							
13	300000	12	288	11	-1	-1	-1	-1	-1	-1	7500000							
14	300000	12	288	12	-1	-1	-1	-1	-1	-1	8000000							
end																		
